"id","zip_code","sid","default_state","default_city","default_type"
440,"01609",26,"MA","WORCESTER","STANDARD"
441,"01610",26,"MA","WORCESTER","STANDARD"
442,"01611",26,"MA","CHERRY VALLEY","STANDARD"
443,"01612",26,"MA","PAXTON","STANDARD"
444,"01613",26,"MA","WORCESTER","PO BOX"
445,"01614",26,"MA","WORCESTER","PO BOX"
446,"01615",26,"MA","WORCESTER","PO BOX"
447,"01653",26,"MA","WORCESTER","UNIQUE"
448,"01655",26,"MA","WORCESTER","STANDARD"
449,"01701",26,"MA","FRAMINGHAM","STANDARD"
450,"01702",26,"MA","FRAMINGHAM","STANDARD"
451,"01703",26,"MA","FRAMINGHAM","PO BOX"
452,"01704",26,"MA","FRAMINGHAM","PO BOX"
453,"01705",26,"MA","FRAMINGHAM","PO BOX"
454,"01718",26,"MA","ACTON","STANDARD"
455,"01719",26,"MA","BOXBOROUGH","STANDARD"
456,"01720",26,"MA","ACTON","STANDARD"
457,"01721",26,"MA","ASHLAND","STANDARD"
458,"01730",26,"MA","BEDFORD","STANDARD"
459,"01731",26,"MA","HANSCOM AFB","STANDARD"
460,"01740",26,"MA","BOLTON","STANDARD"
461,"01741",26,"MA","CARLISLE","STANDARD"
462,"01742",26,"MA","CONCORD","STANDARD"
463,"01745",26,"MA","FAYVILLE","STANDARD"
464,"01746",26,"MA","HOLLISTON","STANDARD"
465,"01747",26,"MA","HOPEDALE","STANDARD"
466,"01748",26,"MA","HOPKINTON","STANDARD"
467,"01749",26,"MA","HUDSON","STANDARD"
468,"01752",26,"MA","MARLBOROUGH","STANDARD"
469,"01754",26,"MA","MAYNARD","STANDARD"
470,"01756",26,"MA","MENDON","STANDARD"
471,"01757",26,"MA","MILFORD","STANDARD"
472,"01760",26,"MA","NATICK","STANDARD"
473,"01770",26,"MA","SHERBORN","STANDARD"
474,"01772",26,"MA","SOUTHBOROUGH","STANDARD"
475,"01773",26,"MA","LINCOLN","STANDARD"
476,"01775",26,"MA","STOW","STANDARD"
477,"01776",26,"MA","SUDBURY","STANDARD"
478,"01778",26,"MA","WAYLAND","STANDARD"
479,"01784",26,"MA","WOODVILLE","PO BOX"
480,"01801",26,"MA","WOBURN","STANDARD"
481,"01803",26,"MA","BURLINGTON","STANDARD"
482,"01805",26,"MA","BURLINGTON","UNIQUE"
483,"01810",26,"MA","ANDOVER","STANDARD"
484,"01812",26,"MA","ANDOVER","UNIQUE"
485,"01813",26,"MA","WOBURN","UNIQUE"
486,"01815",26,"MA","WOBURN","UNIQUE"
487,"01821",26,"MA","BILLERICA","STANDARD"
488,"01822",26,"MA","BILLERICA","PO BOX"
489,"01824",26,"MA","CHELMSFORD","STANDARD"
490,"01826",26,"MA","DRACUT","STANDARD"
491,"01827",26,"MA","DUNSTABLE","STANDARD"
492,"01830",26,"MA","HAVERHILL","STANDARD"
493,"01831",26,"MA","HAVERHILL","PO BOX"
494,"01832",26,"MA","HAVERHILL","STANDARD"
495,"01833",26,"MA","GEORGETOWN","STANDARD"
496,"01834",26,"MA","GROVELAND","STANDARD"
497,"01835",26,"MA","HAVERHILL","STANDARD"
498,"01840",26,"MA","LAWRENCE","STANDARD"
499,"01841",26,"MA","LAWRENCE","STANDARD"
500,"01842",26,"MA","LAWRENCE","PO BOX"
501,"01843",26,"MA","LAWRENCE","STANDARD"
502,"01844",26,"MA","METHUEN","STANDARD"
503,"01845",26,"MA","NORTH ANDOVER","STANDARD"
504,"01850",26,"MA","LOWELL","STANDARD"
505,"01851",26,"MA","LOWELL","STANDARD"
506,"01852",26,"MA","LOWELL","STANDARD"
507,"01853",26,"MA","LOWELL","PO BOX"
508,"01854",26,"MA","LOWELL","STANDARD"
509,"01860",26,"MA","MERRIMAC","STANDARD"
510,"01862",26,"MA","NORTH BILLERICA","STANDARD"
511,"01863",26,"MA","NORTH CHELMSFORD","STANDARD"
